timestamp,source_ip,destination_ip,port,protocol,failed_attempts,bytes_sent,event_type,severity,protocol_encoded,event_encoded,severity_encoded,base_risk,failed_attempt_risk,port_risk,risk_score,risk_level,anomaly,ip_reputation,mitre_attack,country,device_type,username,hour_of_day,activity_count
2026-06-02 07:22:46.602511,192.168.93.15,10.0.107.72,3389,TCP,6,6365,Unauthorized Access,Critical,0,5,0,95,12,25,100,High,1,Unknown,T1078 Valid Accounts,Russia,Linux,service_account,7,1013
2026-06-02 07:23:46.602511,192.168.215.75,10.0.203.88,3389,UDP,7,8422,Malware Alert,Critical,1,2,0,95,14,25,100,High,1,Unknown,T1204 User Execution,China,MacOS,service_account,7,1013
2026-06-02 07:24:46.602511,192.168.53.2,10.0.88.236,80,UDP,0,4655,Successful Login,Low,1,4,2,20,0,5,25,Low,1,Unknown,Normal Activity,Brazil,MacOS,guest,7,1006
2026-06-02 07:25:46.602511,192.168.22.253,10.0.236.89,22,TCP,9,2147,Port Scan,High,0,3,1,80,18,20,100,High,1,Unknown,T1046 Network Service Discovery,USA,Windows,guest,7,1006
2026-06-02 07:26:46.602511,192.168.188.208,10.0.15.190,443,UDP,19,1628,Unauthorized Access,Critical,1,5,0,95,38,5,100,High,1,Unknown,T1078 Valid Accounts,Brazil,Linux,guest,7,1006
2026-06-02 07:27:46.602511,192.168.229.51,10.0.135.21,22,TCP,17,8892,Malware Alert,Critical,0,2,0,95,34,20,100,High,1,Unknown,T1204 User Execution,Russia,MacOS,john,7,1018
2026-06-02 07:28:46.602511,192.168.14.242,10.0.250.9,80,TCP,1,9655,Unauthorized Access,Critical,0,5,0,95,2,5,100,High,1,Unknown,T1078 Valid Accounts,Brazil,Windows,service_account,7,1013
2026-06-02 07:29:46.602511,192.168.111.188,10.0.199.172,3389,UDP,14,8326,Unauthorized Access,Critical,1,5,0,95,28,25,100,High,1,Unknown,T1078 Valid Accounts,India,Windows,service_account,7,1013
2026-06-02 07:30:46.602511,192.168.81.164,10.0.50.104,8080,UDP,5,3943,Successful Login,Low,1,4,2,20,10,10,40,Medium,1,Unknown,Normal Activity,Brazil,Linux,guest,7,1006
2026-06-02 07:31:46.602511,192.168.221.191,10.0.146.218,8080,UDP,9,1095,Successful Login,Low,1,4,2,20,18,10,48,Medium,1,Unknown,Normal Activity,China,Linux,alice,7,990
2026-06-02 07:32:46.602511,192.168.95.48,10.0.15.200,8080,TCP,7,7992,Successful Login,Low,0,4,2,20,14,10,44,Medium,1,Unknown,Normal Activity,India,Windows,guest,7,1006
2026-06-02 07:33:46.602511,192.168.82.111,10.0.53.24,80,TCP,12,7308,Brute Force Attempt,High,0,0,1,80,24,5,100,High,1,Unknown,T1110 Brute Force,Germany,Linux,john,7,1018
2026-06-02 07:34:46.602511,192.168.15.45,10.0.65.89,22,UDP,0,2127,Brute Force Attempt,High,1,0,1,80,0,20,100,High,1,Unknown,T1110 Brute Force,Germany,Linux,alice,7,990
2026-06-02 07:35:46.602511,192.168.243.81,10.0.136.163,443,TCP,4,3661,Malware Alert,Critical,0,2,0,95,8,5,100,High,1,Unknown,T1204 User Execution,Brazil,MacOS,service_account,7,1013
2026-06-02 07:36:46.602511,192.168.41.28,10.0.135.201,8080,UDP,0,7315,Port Scan,High,1,3,1,80,0,10,90,High,1,Unknown,T1046 Network Service Discovery,USA,Linux,john,7,1018
2026-06-02 07:37:46.602511,192.168.216.37,10.0.99.172,443,TCP,0,8210,Successful Login,Low,0,4,2,20,0,5,25,Low,1,Unknown,Normal Activity,China,Windows,john,7,1018
2026-06-02 07:38:46.602511,192.168.131.1,10.0.5.218,443,TCP,14,5234,Successful Login,Low,0,4,2,20,28,5,53,Medium,1,Unknown,Normal Activity,USA,Linux,alice,7,990
2026-06-02 07:39:46.602511,192.168.42.124,10.0.205.179,22,UDP,3,1857,Port Scan,High,1,3,1,80,6,20,100,High,1,Unknown,T1046 Network Service Discovery,India,MacOS,guest,7,1006
2026-06-02 07:40:46.602511,192.168.151.231,10.0.237.143,443,TCP,3,6768,Brute Force Attempt,High,0,0,1,80,6,5,91,High,1,Unknown,T1110 Brute Force,USA,Linux,guest,7,1006
2026-06-02 07:41:46.602511,192.168.243.86,10.0.28.66,80,TCP,5,3727,Malware Alert,Critical,0,2,0,95,10,5,100,High,1,Unknown,T1204 User Execution,India,MacOS,admin,7,973
2026-06-02 07:42:46.602511,192.168.30.190,10.0.75.128,80,TCP,6,7492,Unauthorized Access,Critical,0,5,0,95,12,5,100,High,1,Unknown,T1078 Valid Accounts,USA,Linux,alice,7,990
2026-06-02 07:43:46.602511,192.168.121.27,10.0.190.121,8080,TCP,8,9574,Failed Login,Medium,0,1,3,50,16,10,76,High,1,Unknown,T1110 Brute Force,Germany,Linux,guest,7,1006
2026-06-02 07:44:46.602511,192.168.200.155,10.0.137.62,3389,TCP,18,763,Successful Login,Low,0,4,2,20,36,25,81,High,1,Unknown,Normal Activity,China,Windows,john,7,1018
2026-06-02 07:45:46.602511,192.168.118.160,10.0.96.216,22,UDP,16,1953,Malware Alert,Critical,1,2,0,95,32,20,100,High,1,Unknown,T1204 User Execution,USA,Windows,guest,7,1006
2026-06-02 07:46:46.602511,192.168.186.52,10.0.12.254,80,TCP,16,1736,Failed Login,Medium,0,1,3,50,32,5,87,High,1,Unknown,T1110 Brute Force,Brazil,Linux,guest,7,1006
2026-06-02 07:47:46.602511,192.168.184.81,10.0.187.113,80,UDP,4,5955,Failed Login,Medium,1,1,3,50,8,5,63,Medium,1,Unknown,T1110 Brute Force,India,Linux,john,7,1018
2026-06-02 07:48:46.602511,192.168.129.147,10.0.126.130,3389,UDP,5,5635,Failed Login,Medium,1,1,3,50,10,25,85,High,1,Unknown,T1110 Brute Force,Brazil,MacOS,alice,7,990
2026-06-02 07:49:46.602511,192.168.183.203,10.0.184.123,22,TCP,5,2427,Unauthorized Access,Critical,0,5,0,95,10,20,100,High,1,Unknown,T1078 Valid Accounts,China,MacOS,admin,7,973
2026-06-02 07:50:46.602511,192.168.116.98,10.0.198.214,443,TCP,15,6387,Brute Force Attempt,High,0,0,1,80,30,5,100,High,1,Unknown,T1110 Brute Force,Brazil,Windows,guest,7,1006
2026-06-02 07:51:46.602511,192.168.201.124,10.0.187.70,3389,TCP,19,2911,Failed Login,Medium,0,1,3,50,38,25,100,High,1,Unknown,T1110 Brute Force,Germany,Linux,guest,7,1006
2026-06-02 07:52:46.602511,192.168.164.147,10.0.90.195,443,UDP,6,1943,Malware Alert,Critical,1,2,0,95,12,5,100,High,1,Unknown,T1204 User Execution,Germany,Linux,guest,7,1006
2026-06-02 07:53:46.602511,192.168.161.168,10.0.128.39,80,UDP,0,1902,Failed Login,Medium,1,1,3,50,0,5,55,Medium,1,Unknown,T1110 Brute Force,Russia,MacOS,alice,7,990
2026-06-02 07:54:46.602511,192.168.185.217,10.0.178.151,80,TCP,6,6387,Unauthorized Access,Critical,0,5,0,95,12,5,100,High,1,Unknown,T1078 Valid Accounts,China,Linux,john,7,1018
2026-06-02 07:55:46.602511,192.168.112.249,10.0.244.60,22,UDP,0,5523,Port Scan,High,1,3,1,80,0,20,100,High,1,Unknown,T1046 Network Service Discovery,USA,Linux,john,7,1018
2026-06-02 07:56:46.602511,192.168.140.197,10.0.37.160,443,TCP,8,7500,Successful Login,Low,0,4,2,20,16,5,41,Medium,1,Unknown,Normal Activity,Germany,Linux,john,7,1018
2026-06-02 07:57:46.602511,192.168.147.48,10.0.208.131,8080,UDP,0,1748,Malware Alert,Critical,1,2,0,95,0,10,100,High,1,Unknown,T1204 User Execution,USA,MacOS,john,7,1018
2026-06-02 07:58:46.602511,192.168.166.104,10.0.84.254,443,UDP,2,2300,Unauthorized Access,Critical,1,5,0,95,4,5,100,High,1,Unknown,T1078 Valid Accounts,USA,MacOS,john,7,1018
2026-06-02 07:59:46.602511,192.168.146.128,10.0.110.82,80,UDP,2,1056,Brute Force Attempt,High,1,0,1,80,4,5,89,High,1,Unknown,T1110 Brute Force,India,MacOS,john,7,1018
2026-06-02 08:00:46.602511,192.168.228.161,10.0.68.33,3389,UDP,19,9819,Failed Login,Medium,1,1,3,50,38,25,100,High,-1,Unknown,T1110 Brute Force,Brazil,Linux,guest,8,1006
2026-06-02 08:01:46.602511,192.168.145.128,10.0.33.176,8080,TCP,18,3546,Malware Alert,Critical,0,2,0,95,36,10,100,High,1,Unknown,T1204 User Execution,USA,MacOS,guest,8,1006
2026-06-02 08:02:46.602511,192.168.238.158,10.0.38.230,3389,TCP,7,3454,Successful Login,Low,0,4,2,20,14,25,59,Medium,1,Unknown,Normal Activity,Russia,Windows,john,8,1018
2026-06-02 08:03:46.602511,192.168.226.21,10.0.30.97,8080,TCP,0,8096,Malware Alert,Critical,0,2,0,95,0,10,100,High,-1,Unknown,T1204 User Execution,China,Windows,john,8,1018
2026-06-02 08:04:46.602511,192.168.4.35,10.0.192.49,22,UDP,13,3544,Malware Alert,Critical,1,2,0,95,26,20,100,High,1,Unknown,T1204 User Execution,China,MacOS,alice,8,990
2026-06-02 08:05:46.602511,192.168.99.124,10.0.233.37,3389,TCP,13,706,Successful Login,Low,0,4,2,20,26,25,71,High,1,Unknown,Normal Activity,India,MacOS,alice,8,990
2026-06-02 08:06:46.602511,192.168.188.225,10.0.116.191,3389,TCP,0,3427,Malware Alert,Critical,0,2,0,95,0,25,100,High,1,Unknown,T1204 User Execution,Russia,Linux,service_account,8,1013
2026-06-02 08:07:46.602511,192.168.128.18,10.0.25.234,80,TCP,7,2833,Malware Alert,Critical,0,2,0,95,14,5,100,High,1,Unknown,T1204 User Execution,Brazil,MacOS,guest,8,1006
2026-06-02 08:08:46.602511,192.168.32.175,10.0.86.151,80,TCP,9,1509,Port Scan,High,0,3,1,80,18,5,100,High,1,Unknown,T1046 Network Service Discovery,Russia,MacOS,john,8,1018
2026-06-02 08:09:46.602511,192.168.17.104,10.0.161.137,443,UDP,15,7306,Port Scan,High,1,3,1,80,30,5,100,High,1,Unknown,T1046 Network Service Discovery,China,Windows,guest,8,1006
2026-06-02 08:10:46.602511,192.168.170.247,10.0.26.99,80,TCP,12,7071,Brute Force Attempt,High,0,0,1,80,24,5,100,High,1,Unknown,T1110 Brute Force,Russia,Windows,service_account,8,1013
2026-06-02 08:11:46.602511,192.168.135.57,10.0.36.173,8080,TCP,7,6755,Port Scan,High,0,3,1,80,14,10,100,High,1,Unknown,T1046 Network Service Discovery,Brazil,Windows,alice,8,990
2026-06-02 08:12:46.602511,192.168.144.142,10.0.204.115,8080,UDP,1,6019,Successful Login,Low,1,4,2,20,2,10,32,Medium,1,Unknown,Normal Activity,Germany,Windows,service_account,8,1013
2026-06-02 08:13:46.602511,192.168.51.153,10.0.186.63,3389,UDP,16,4877,Successful Login,Low,1,4,2,20,32,25,77,High,1,Unknown,Normal Activity,USA,MacOS,admin,8,973
2026-06-02 08:14:46.602511,192.168.15.54,10.0.235.188,3389,TCP,7,3224,Successful Login,Low,0,4,2,20,14,25,59,Medium,1,Unknown,Normal Activity,USA,Windows,alice,8,990
2026-06-02 08:15:46.602511,192.168.236.108,10.0.5.103,8080,UDP,12,9283,Unauthorized Access,Critical,1,5,0,95,24,10,100,High,-1,Unknown,T1078 Valid Accounts,China,Linux,guest,8,1006
2026-06-02 08:16:46.602511,192.168.94.47,10.0.99.55,8080,UDP,12,4565,Unauthorized Access,Critical,1,5,0,95,24,10,100,High,1,Unknown,T1078 Valid Accounts,China,Linux,alice,8,990
2026-06-02 08:17:46.602511,192.168.106.158,10.0.147.145,443,UDP,4,8408,Unauthorized Access,Critical,1,5,0,95,8,5,100,High,1,Unknown,T1078 Valid Accounts,Brazil,MacOS,service_account,8,1013
2026-06-02 08:18:46.602511,192.168.23.127,10.0.137.140,3389,TCP,0,7905,Successful Login,Low,0,4,2,20,0,25,45,Medium,1,Unknown,Normal Activity,Russia,Linux,john,8,1018
2026-06-02 08:19:46.602511,192.168.48.89,10.0.232.237,3389,TCP,15,4170,Successful Login,Low,0,4,2,20,30,25,75,High,1,Unknown,Normal Activity,Brazil,Windows,service_account,8,1013
2026-06-02 08:20:46.602511,192.168.22.93,10.0.247.195,8080,UDP,15,3606,Brute Force Attempt,High,1,0,1,80,30,10,100,High,1,Unknown,T1110 Brute Force,India,Windows,service_account,8,1013
2026-06-02 08:21:46.602511,192.168.86.185,10.0.29.206,8080,TCP,14,2241,Brute Force Attempt,High,0,0,1,80,28,10,100,High,1,Unknown,T1110 Brute Force,China,Linux,john,8,1018
2026-06-02 08:22:46.602511,192.168.190.244,10.0.197.204,80,UDP,15,6584,Successful Login,Low,1,4,2,20,30,5,55,Medium,1,Unknown,Normal Activity,China,MacOS,guest,8,1006
2026-06-02 08:23:46.602511,192.168.33.254,10.0.222.101,80,UDP,4,2949,Unauthorized Access,Critical,1,5,0,95,8,5,100,High,1,Unknown,T1078 Valid Accounts,China,Windows,guest,8,1006
2026-06-02 08:24:46.602511,192.168.223.138,10.0.250.147,80,UDP,0,9307,Unauthorized Access,Critical,1,5,0,95,0,5,100,High,1,Unknown,T1078 Valid Accounts,Brazil,Windows,alice,8,990
2026-06-02 08:25:46.602511,192.168.237.4,10.0.16.24,80,TCP,19,1787,Brute Force Attempt,High,0,0,1,80,38,5,100,High,1,Unknown,T1110 Brute Force,Brazil,Linux,service_account,8,1013
2026-06-02 08:26:46.602511,192.168.178.163,10.0.124.33,22,TCP,18,5832,Unauthorized Access,Critical,0,5,0,95,36,20,100,High,1,Unknown,T1078 Valid Accounts,Russia,MacOS,alice,8,990
2026-06-02 08:27:46.602511,192.168.67.65,10.0.161.168,80,TCP,11,4480,Unauthorized Access,Critical,0,5,0,95,22,5,100,High,1,Unknown,T1078 Valid Accounts,Germany,MacOS,john,8,1018
2026-06-02 08:28:46.602511,192.168.12.95,10.0.46.130,3389,TCP,17,2182,Brute Force Attempt,High,0,0,1,80,34,25,100,High,1,Unknown,T1110 Brute Force,China,Linux,admin,8,973
2026-06-02 08:29:46.602511,192.168.90.8,10.0.93.154,80,UDP,1,8406,Failed Login,Medium,1,1,3,50,2,5,57,Medium,1,Unknown,T1110 Brute Force,Germany,Windows,guest,8,1006
2026-06-02 08:30:46.602511,192.168.135.196,10.0.58.245,80,TCP,10,512,Failed Login,Medium,0,1,3,50,20,5,75,High,1,Unknown,T1110 Brute Force,Brazil,Linux,john,8,1018
2026-06-02 08:31:46.602511,192.168.217.21,10.0.253.249,8080,UDP,4,2604,Unauthorized Access,Critical,1,5,0,95,8,10,100,High,1,Unknown,T1078 Valid Accounts,Russia,Linux,guest,8,1006
